rok,miesiac,stopa_bezrobocia_proc
2018,1,6.8
2018,2,6.8
2018,3,6.6
2018,4,6.3
2018,5,6.1
2018,6,5.8
2018,7,5.8
2018,8,5.8
2018,9,5.7
2018,10,5.7
2018,11,5.7
2018,12,5.8
2019,1,6.1
2019,2,6.1
2019,3,5.9
2019,4,5.6
2019,5,5.4
2019,6,5.3
2019,7,5.2
2019,8,5.2
2019,9,5.1
2019,10,5.0
2019,11,5.1
2019,12,5.2
2020,1,5.5
2020,2,5.5
2020,3,5.4
2020,4,5.8
2020,5,6.0
2020,6,6.1
2020,7,6.1
2020,8,6.1
2020,9,6.1
2020,10,6.1
2020,11,6.1
2020,12,6.3
2021,1,6.5
2021,2,6.6
2021,3,6.4
2021,4,6.3
2021,5,6.1
2021,6,6.0
2021,7,5.9
2021,8,5.8
2021,9,5.6
2021,10,5.5
2021,11,5.4
2021,12,5.8
2022,1,5.9
2022,2,5.9
2022,3,5.8
2022,4,5.6
2022,5,5.4
2022,6,5.2
2022,7,5.2
2022,8,5.2
2022,9,5.1
2022,10,5.1
2022,11,5.1
2022,12,5.2
2023,1,5.5
2023,2,5.6
2023,3,5.4
2023,4,5.3
2023,5,5.1
2023,6,5.1
2023,7,5.0
2023,8,5.0
2023,9,5.0
2023,10,5.0
2023,11,5.0
2023,12,5.1
